Результат расчета с распределением uniform
X:-879.024 Y:-257.727 Z:-325.379  
X:-340.511 Y:-369.497 Z:-354.340  
X:-366.753 Y:-337.338 Z:-294.611  
X:-266.854 Y:-248.215 Z:-204.438  
X:-177.800 Y:-149.179 Z:-117.715  
X:-87.053 Y:-60.273 Z:-27.525  
X:0.000 Y:23.806 Z:52.213  
X:80.837 Y:105.652 Z:118.573  
X:133.021 Y:134.837 Z:142.682  
X:146.566 Y:128.734 Z:114.524  
X:141.922 Y:155.498 Z:173.971  
X:249.202 Y:261.925 Z:223.924  
X:288.103 Y:-697.455 Z:-445.912  
X:-420.610 Y:-405.015 Z:-360.216  
X:-365.497 Y:-337.611 Z:-309.218  
X:-291.614 Y:-254.325 Z:-230.784  
X:-213.016 Y:-177.613 Z:-149.139  
X:-117.235 Y:-87.892 Z:-55.937  
X:-28.703 Y:0.000 Z:24.754  
X:46.979 Y:74.676 Z:95.295  
X:120.290 Y:143.538 Z:166.798  
X:181.221 Y:182.893 Z:180.445  
X:159.184 Y:149.834 Z:221.524  
X:221.166 Y:234.881 Z:219.465  
X:224.492 Y:373.520 Z:-776.000  
X:-461.639 Y:-407.524 Z:-367.847  
X:-370.998 Y:-330.761 Z:-335.779  
X:-299.824 Y:-270.896 Z:-241.054  
X:-243.718 Y:-206.981 Z:-179.385  
X:-130.301 Y:-101.372 Z:-80.185  
X:-50.904 Y:-21.262 Z:0.000  
X:24.552 Y:49.104 Z:72.095  
X:98.730 Y:124.176 Z:142.701  
X:153.610 Y:182.435 Z:203.102  
X:172.266 Y:143.070 Z:149.148  
X:261.487 Y:250.838 Z:226.959  
X:180.973 Y:222.787 Z:216.286  
X:-686.227 Y:-373.703 Z:-313.111  
X:-297.456 Y:-278.630 Z:-270.341  
X:-253.843 Y:-226.075 Z:-220.772  
X:-201.420 Y:-192.706 Z:-157.820  
X:-149.670 Y:-123.058 Z:-100.185  
X:-74.943 Y:-43.248 Z:-17.713  
X:0.000 Y:23.366 Z:47.703  
X:73.454 Y:102.105 Z:129.679  
X:138.351 Y:158.804 Z:186.446  
X:211.369 Y:197.006 Z:189.935  
X:223.949 Y:274.674 Z:294.927  
X:207.399 Y:160.704 Z:179.712  
X:233.991 Y:-734.601 Z:-305.705  
X:-293.143 Y:-261.823 Z:-236.305  
X:-218.006 Y:-200.612 Z:-196.875  
X:-174.596 Y:-184.834 Z:-153.106  
X:-142.323 Y:-128.362 Z:-111.226  
X:-87.316 Y:-64.233 Z:-37.828  
X:-23.050 Y:0.000 Z:22.191  
X:45.937 Y:67.829 Z:99.529  
X:125.349 Y:181.652 Z:223.223  
X:227.743 Y:243.033 Z:245.646  
X:260.103 Y:283.424 Z:302.831  
X:294.316 Y:319.713 Z:243.186  
X:185.532 Y:257.455 Z:-683.081  
X:-281.099 Y:-246.855 Z:-216.135  
X:-191.445 Y:-174.951 Z:-163.475  
X:-167.211 Y:-144.720 Z:-138.006  
X:-127.630 Y:-121.456 Z:-102.336  
X:-92.176 Y:-74.845 Z:-54.008  
X:-31.929 Y:-27.122 Z:0.000  
X:22.127 Y:45.276 Z:77.397  
X:128.536 Y:141.527 Z:152.988  
X:163.290 Y:161.701 Z:164.112  
X:156.893 Y:207.775 Z:257.079  
X:320.738 Y:482.051 Z:282.772  
X:236.115 Y:194.543 Z:372.356  
X:-658.807 Y:-252.431 Z:-230.478  
X:-213.387 Y:-176.574 Z:-146.722  
X:-138.641 Y:-143.098 Z:-146.386  
X:-138.432 Y:-103.686 Z:-102.933  
X:-85.988 Y:-70.937 Z:-55.897  
X:-42.048 Y:-26.226 Z:-27.696  
X:0.000 Y:21.033 Z:50.325  
X:77.790 Y:94.116 Z:101.646  
X:100.480 Y:94.958 Z:94.211  
X:147.788 Y:173.717 Z:199.387  
X:226.922 Y:260.410 Z:330.980  
X:289.124 Y:234.153 Z:171.057  
X:128.850 Y:-687.216 Z:-230.043  
X:-204.029 Y:-175.837 Z:-166.278  
X:-143.437 Y:-135.743 Z:-134.520  
X:-127.203 Y:-123.597 Z:-112.327  
X:-97.748 Y:-87.302 Z:-73.969  
X:-63.064 Y:-47.220 Z:-23.343  
X:-26.546 Y:0.000 Z:23.930  
X:45.759 Y:48.521 Z:60.107  
X:76.923 Y:92.455 Z:110.699  
X:128.314 Y:147.513 Z:167.429  
X:189.685 Y:208.882 Z:233.569  
X:274.045 Y:242.651 Z:206.473  
X:141.874 Y:166.218 Z:-592.462  
X:-180.700 Y:-170.895 Z:-156.306  
X:-156.830 Y:-152.320 Z:-141.279  
X:-133.018 Y:-123.429 Z:-104.072  
